"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"1","ALLIAR","https://www.ivalor.com.br/empresas/AALR","AALR3","https://www.ivalor.com.br/empresas/acoes/AALR3","Small Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"2","ABC BRASIL","https://www.ivalor.com.br/empresas/ABCB","ABCB4","https://www.ivalor.com.br/empresas/acoes/ABCB4","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"3","AMBEV S/A","https://www.ivalor.com.br/empresas/ABEV","ABEV3","https://www.ivalor.com.br/empresas/acoes/ABEV3","Mega Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"4","ADVANCED-DH","https://www.ivalor.com.br/empresas/ADHM","ADHM3","https://www.ivalor.com.br/empresas/acoes/ADHM3","Nano Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"5","AFLUENTE T","https://www.ivalor.com.br/empresas/AFLT","AFLT3","https://www.ivalor.com.br/empresas/acoes/AFLT3","Micro Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"6","BRASILAGRO","https://www.ivalor.com.br/empresas/AGRO","AGRO3","https://www.ivalor.com.br/empresas/acoes/AGRO3","Small Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"7","SPTURIS","https://www.ivalor.com.br/empresas/AHEB","AHEB6","https://www.ivalor.com.br/empresas/acoes/AHEB6","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"8","ALPARGATAS","https://www.ivalor.com.br/empresas/ALPA","ALPA4","https://www.ivalor.com.br/empresas/acoes/ALPA4","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"9","ESTAPAR","https://www.ivalor.com.br/empresas/ALPK","ALPK3","https://www.ivalor.com.br/empresas/acoes/ALPK3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"10","ALIANSCE","https://www.ivalor.com.br/empresas/ALSC","ALSC3","https://www.ivalor.com.br/empresas/acoes/ALSC3","Mid Cap","Financeiro e Outros","https://www.ivalor.com.br/empresas/listagem?setor=1"
"11","ALIANSCSONAE","https://www.ivalor.com.br/empresas/ALSO","ALSO3","https://www.ivalor.com.br/empresas/acoes/ALSO3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"12","ALUPAR","https://www.ivalor.com.br/empresas/ALUP","ALUP4","https://www.ivalor.com.br/empresas/acoes/ALUP4","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"13","LOJAS MARISA","https://www.ivalor.com.br/empresas/AMAR","AMAR3","https://www.ivalor.com.br/empresas/acoes/AMAR3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"14","AMBIPAR","https://www.ivalor.com.br/empresas/AMBP","AMBP3","https://www.ivalor.com.br/empresas/acoes/AMBP3","Small Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"15","ANIMA","https://www.ivalor.com.br/empresas/ANIM","ANIM3","https://www.ivalor.com.br/empresas/acoes/ANIM3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"16","ALPER S.A.","https://www.ivalor.com.br/empresas/APER","APER3","https://www.ivalor.com.br/empresas/acoes/APER3","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"17","ALIPERTI","https://www.ivalor.com.br/empresas/APTI","APTI4","https://www.ivalor.com.br/empresas/acoes/APTI4","Nano Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"18","AREZZO CO","https://www.ivalor.com.br/empresas/ARZZ","ARZZ3","https://www.ivalor.com.br/empresas/acoes/ARZZ3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"19","ATOMPAR","https://www.ivalor.com.br/empresas/ATOM","ATOM3","https://www.ivalor.com.br/empresas/acoes/ATOM3","Nano Cap","Outros","https://www.ivalor.com.br/empresas/listagem?setor=34"
"20","AURA 360","https://www.ivalor.com.br/empresas/AURA","AURA32","https://www.ivalor.com.br/empresas/acoes/AURA32","-","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"21","AZEVEDO","https://www.ivalor.com.br/empresas/AZEV","AZEV4","https://www.ivalor.com.br/empresas/acoes/AZEV4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
