id;cnpj;name;cvm_code;category;subcategory;financial_statement;final_accounting_date;value
-1;Rhode Island Knolls Iowa;transmitting;81389;channels;Unbranded Steel Mouse withdrawal;Handmade UAE Dirham;2020-11-14;63232
-2;grey override;Administrator New York;19006;optical Concrete;didactic withdrawal;Oval reboot Public-key;2020-11-13;78285
-3;PCI Indiana calculate;overriding;44024;Japan payment;Persevering;multi-tasking Reduced;2020-11-14;10950
-4;Internal Leone Cambridgeshire;analyzer Grenada Metal;9218;District 3rd generation;Rustic application Saint Kitts and Nevis;programming;2020-11-14;29537
-5;ADP Credit Card Account;strategic reboot withdrawal;83919;applications Concrete;revolutionary Soap Re-contextualized;Metal Glen Illinois;2020-11-14;52787
-6;Communications synergies Strategist;Operations backing up;91787;Metal violet Investment Account;Ergonomic Frozen Sausages purple matrix;compress Granite neural;2020-11-14;89371
-7;Mill;withdrawal;36812;reinvent;solid state;Licensed AI Home;2020-11-13;19518
-8;Metal Cambridgeshire;mobile orchid robust;94958;infomediaries Singapore Dollar e-commerce;paradigm Integration;back up;2020-11-13;16611
-9;feed protocol;Interactions program;44057;orchestration Branding;Auto Loan Account intuitive;front-end Kids Spain;2020-11-14;54414
-10;Credit Card Account bus;Beauty Table;10413;enterprise Oklahoma;visualize Cambridgeshire;Books;2020-11-14;60928
